identifier,organism,kingdom
P13123,Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770),Archaea
P03211,Epstein-Barr virus (strain B95-8),Viruses
P03023,Escherichia coli (strain K12),Bacteria
Q38087,Escherichia phage RB69,Viruses
P22670,Homo sapiens,Metazoa
P39075,Bacillus subtilis (strain 168),Bacteria
P21228,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),Fungi
P11831,Homo sapiens,Metazoa
P11938,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P61978,Homo sapiens,Metazoa
P29549,Sterkiella nova,Protists
Q24573,Drosophila melanogaster,Metazoa
O13988,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P06855,Enterobacteria phage T4,Viruses
P32797,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P34257,Caenorhabditis elegans,Metazoa
Q14103,Homo sapiens,Metazoa
P03680,Bacillus phage phi29,Viruses
P03206,Epstein-Barr virus (strain B95-8),Viruses
P08638,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P14736,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q00958,Arabidopsis thaliana,Viridiplantae
Q9H171,Homo sapiens,Metazoa
P21189,Escherichia coli (strain K12),Bacteria
Q99551,Homo sapiens,Metazoa
Q46864,Escherichia coli (strain K12),Bacteria
P03040,Escherichia phage lambda,Viruses
Q16666,Homo sapiens,Metazoa
P15005,Escherichia coli (strain K12),Bacteria
Q00059,Homo sapiens,Metazoa
Q9YAX2,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),Archaea
Q9RY51,Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1),Bacteria
P23511,Homo sapiens,Metazoa
P07636,Escherichia phage Mu,Viruses
O68014,Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Bacteria
P13925,Streptococcus agalactiae,Bacteria
P0AC51,Escherichia coli (strain K12),Bacteria
P10026,Escherichia coli (strain K12),Bacteria
P42226,Homo sapiens,Metazoa
P28519,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P40847,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P15563,Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383),Fungi
Q00578,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P22915,Enterobacteria phage T4,Viruses
P07271,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P06839,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P27296,Escherichia coli (strain K12),Bacteria
